bar,timestamp,side,entry,exit,size,pnl,bars_held,confidence
60,1781780040000,short,64007.4,64124.8,0.007811596784121836,-1.918,7,HIGH
69,1781781660000,long,64050.0,63890.8,0.007805746794543275,-2.2413,8,LOW
87,1781784900000,short,63899.1,64038.3,0.007806642159293409,-2.0854,17,HIGH
113,1781789580000,long,64076.2,64043.4,0.007785751488772697,-1.2529,25,MEDIUM
134,1781793360000,short,64058.1,63938.2,0.0077781721521128595,-0.063,16,HIGH
140,1781794440000,long,63948.5,63688.4,0.007776426960579605,-3.0152,5,LOW
178,1781801280000,short,63785.7,62658.3,0.0077726392537393035,7.7801,37,LOW
185,1781802540000,long,62604.7,62413.1,0.007841430389427731,-2.4827,6,HIGH
197,1781804700000,short,62468.2,62617.4,0.007838692788997112,-2.15,11,HIGH
220,1781808840000,long,62628.4,62647.6,0.007820150946987707,-0.8295,22,MEDIUM
231,1781810820000,short,62676.1,62748.5,0.0078075817800150075,-1.5445,10,LOW
258,1781815680000,long,62763.3,63056.7,0.0077934362828591276,1.306,26,MEDIUM
262,1781816400000,long,63085.0,63062.1,0.007764045200572451,-1.1572,3,LOW
307,1781824500000,short,63059.8,62763.7,0.00775797238918306,1.321,44,MEDIUM
351,1781832420000,long,62786.2,62894.6,0.007765712080612176,-0.1342,43,MEDIUM
363,1781834580000,short,62869.7,63084.6,0.007754330829908063,-2.6431,11,HIGH
374,1781836560000,long,63004.8,62903.5,0.007743176871745006,-1.7593,10,MEDIUM
404,1781841960000,short,62900.0,62739.6,0.007742093054723458,0.2691,29,LOW
410,1781843040000,long,62840.1,62716.6,0.00773185244042956,-1.9257,5,LOW
413,1781843580000,long,62695.9,62557.1,0.0077342784091940205,-2.0423,2,MEDIUM
437,1781847900000,short,62539.1,62675.0,0.0077373421748409546,-2.0203,23,HIGH
471,1781854020000,long,62695.1,62713.6,0.007718749252157968,-0.8252,33,MEDIUM
493,1781857980000,short,62708.1,62652.8,0.007710569376442308,-0.5402,21,LOW
505,1781860140000,long,62738.1,62416.7,0.007695780655030224,-3.4366,11,LOW
525,1781863740000,short,62401.0,62477.9,0.007709818150634225,-1.5557,19,HIGH
