timestamp,open,high,low,close,volume
2024-01-01,0.615,0.641,0.4613,0.5513,1823234000.0
2024-01-08,0.5514,0.6245,0.5439,0.5763,2054944700.0
2024-01-15,0.5764,0.5897,0.5217,0.5465,837381400.0
2024-01-22,0.5465,0.5497,0.4959,0.5241,914123300.0
2024-01-29,0.5241,0.5398,0.4845,0.503,1213993200.0
2024-02-05,0.5031,0.5362,0.4967,0.5262,916019600.0
2024-02-12,0.5263,0.5796,0.5137,0.5572,1457635600.0
2024-02-19,0.5572,0.5754,0.525,0.5428,1283577000.0
2024-02-26,0.5427,0.6513,0.5215,0.6269,3121224700.0
2024-03-04,0.6269,0.6696,0.5231,0.6084,3333899600.0
2024-03-11,0.6083,0.7449,0.5814,0.6192,4116652200.0
2024-03-18,0.6193,0.6687,0.5677,0.6326,3095158600.0
2024-03-25,0.6328,0.663,0.6029,0.6296,1692558700.0
2024-04-01,0.6296,0.6345,0.562,0.5945,1888789200.0
2024-04-08,0.5945,0.6431,0.4072,0.5032,3909189210.0
2024-04-15,0.5031,0.5368,0.4662,0.5245,2312368530.0
2024-04-22,0.5246,0.5715,0.5067,0.5103,1478811750.0
2024-04-29,0.5103,0.5409,0.4781,0.5295,1402005930.0
2024-05-06,0.5295,0.5702,0.4951,0.4994,1334580870.0
2024-05-13,0.4994,0.5291,0.4864,0.5095,945949930.0
2024-05-20,0.5095,0.5573,0.5001,0.5283,1529644250.0
2024-05-27,0.5284,0.5412,0.5079,0.5136,974572290.0
2024-06-03,0.5136,0.5327,0.45,0.4985,1293872520.0
2024-06-10,0.4986,0.5062,0.4586,0.489,1429881240.0
2024-06-17,0.4891,0.522,0.4675,0.4798,1824122470.0
2024-06-24,0.4798,0.4825,0.4617,0.476,956162970.0
2024-07-01,0.476,0.4891,0.3804,0.4195,1691858060.0
2024-07-08,0.4195,0.5662,0.403,0.5203,2999834940.0
2024-07-15,0.5204,0.6383,0.5199,0.5985,4346518300.0
2024-07-22,0.5985,0.6328,0.5765,0.6013,2562921280.0
2024-07-29,0.6012,0.6585,0.5131,0.5228,3329283070.0
2024-08-05,0.5227,0.6438,0.4316,0.5529,4922587620.0
2024-08-12,0.5528,0.5841,0.5501,0.563,1496460020.0
2024-08-19,0.563,0.6309,0.5608,0.5999,1714157200.0
2024-08-26,0.5999,0.602,0.5432,0.5471,1315236510.0
2024-09-02,0.547,0.5725,0.5024,0.5295,1033094120.0
2024-09-09,0.5294,0.5993,0.5228,0.5706,1483949290.0
2024-09-16,0.5707,0.6132,0.5596,0.587,1486587720.0
2024-09-23,0.5871,0.6648,0.5738,0.6411,1782521310.0
2024-09-30,0.6412,0.655,0.5069,0.5337,2850450550.0
2024-10-07,0.5337,0.546,0.5205,0.5318,1006257290.0
2024-10-14,0.5318,0.5666,0.5282,0.5483,1245049240.0
2024-10-21,0.5483,0.561,0.4855,0.5169,1134732830.0
2024-10-28,0.5169,0.5312,0.4915,0.5029,1275978840.0
2024-11-04,0.5029,0.619,0.4955,0.5885,1995306450.0
2024-11-11,0.5886,1.27,0.5704,1.0544,10736560370.0
2024-11-18,1.0544,1.6342,1.0544,1.4329,8272481460.0
2024-11-25,1.4331,2.373,1.2842,2.2943,7573296970.0
2024-12-02,2.2942,2.91,2.1772,2.6018,10397574330.0
2024-12-09,2.6021,2.6082,1.8984,2.4476,5488206620.0
2024-12-16,2.4478,2.728,1.9602,2.2035,5102255490.0
2024-12-23,2.2036,2.3522,2.0701,2.0938,1748001140.0
2024-12-30,2.0938,2.5144,1.9959,2.3989,2491549330.0
2025-01-06,2.3989,2.6047,2.1991,2.5045,2709702630.0
2025-01-13,2.5045,3.4049,2.3306,2.9565,5348409080.0
2025-01-20,2.9561,3.3739,2.9061,3.0215,2186870804.0
2025-01-27,3.0216,3.2149,2.4485,2.5795,2162535618.0
2025-02-03,2.58,2.7874,1.782,2.3922,3989316899.0
2025-02-10,2.3922,2.8383,2.3235,2.7283,1769121003.0
2025-02-17,2.7284,2.7654,2.47,2.5758,1657917676.0
2025-02-24,2.5757,3.0096,1.9515,2.9389,4092307982.0
2025-03-03,2.9389,2.968,2.0826,2.1384,3486832809.0
2025-03-10,2.1385,2.4761,1.898,2.2941,2498202059.0
2025-03-17,2.294,2.589,2.2217,2.4387,2036104880.0
2025-03-24,2.4387,2.5046,2.0604,2.1367,1779934909.0
2025-03-31,2.1368,2.2355,1.8627,1.9213,2961846659.0
2025-04-07,1.9213,2.2472,1.6136,2.1193,4325931908.0
2025-04-14,2.1193,2.1868,2.0357,2.0786,1342005570.0
2025-04-21,2.0787,2.3013,2.0592,2.2514,1787748652.0
2025-04-28,2.2514,2.363,2.1208,2.1548,1230207946.0
2025-05-05,2.1547,2.4853,2.0762,2.3663,1616241470.0
2025-05-12,2.3663,2.656,2.2956,2.4268,2399735475.0
2025-05-19,2.4268,2.4794,2.2641,2.3404,1196221741.0
2025-05-26,2.3404,2.3574,2.0772,2.1779,1048565604.0
2025-06-02,2.178,2.2946,2.0573,2.2661,967089542.0
2025-06-09,2.266,2.3375,2.0812,2.1645,1128287344.0
2025-06-16,2.1644,2.3362,1.907,2.0158,1509602915.0
2025-06-23,2.0157,2.2286,1.9605,2.2054,1205232592.0
2025-06-30,2.2054,2.3266,2.1449,2.27,1205996944.0
2025-07-07,2.27,2.9793,2.2467,2.8355,3149029754.0
2025-07-14,2.8356,3.6646,2.8047,3.4548,4503405023.0
2025-07-21,3.4548,3.6581,2.9568,3.2392,2947088975.0
2025-07-28,3.2392,3.3306,2.7257,2.9464,2118366537.0
2025-08-04,2.9465,3.3809,2.9008,3.1861,2056118553.0
2025-08-11,3.186,3.3537,2.9748,3.0857,1903380984.0
2025-08-18,3.0856,3.1276,2.7814,3.0254,1744688888.0
2025-08-25,3.0254,3.0813,2.7588,2.7745,1255363857.0
2025-09-01,2.7745,2.9276,2.6905,2.8754,1065444143.0
2025-09-08,2.8754,3.1863,2.8611,3.0279,1107488525.0
2025-09-15,3.0278,3.1392,2.9512,2.9687,948004844.0
2025-09-22,2.9686,2.9943,2.6665,2.8664,1397896335.0
2025-09-29,2.8664,3.1002,2.8111,2.9676,1074984127.0
2025-10-06,2.9676,3.05,1.1573,2.5271,2499973774.0
2025-10-13,2.5272,2.6451,2.1883,2.3892,1725504719.0
2025-10-20,2.3892,2.6627,2.3231,2.645,1206095977.0
2025-10-27,2.6451,2.6975,2.3756,2.5255,1241975247.0
2025-11-03,2.5255,2.5313,2.0653,2.3647,1534034729.0
2025-11-10,2.3647,2.5814,2.1538,2.2137,1525019192.0
2025-11-17,2.2137,2.306,1.8197,2.048,1665176187.0
2025-11-24,2.048,2.2847,2.0223,2.1533,1170971678.0
2025-12-01,2.1533,2.2185,1.982,2.0427,1209405592.0
2025-12-08,2.0427,2.1778,1.9513,1.9772,957432095.0
2025-12-15,1.9771,2.0128,1.7708,1.921,1177913778.0
2025-12-22,1.9211,1.9486,1.8234,1.8646,626991501.0
2025-12-29,1.8646,2.1194,1.8101,2.0898,807855613.0
2026-01-05,2.0899,2.4165,2.0418,2.0732,1633351060.0
2026-01-12,2.0732,2.1916,1.9845,1.9902,1005136153.0
2026-01-19,1.9901,2.0285,1.8095,1.8344,1114103454.0
